text_asli,removed_noise,removed_alay,removed_stopwords
"penulisnya udh cape work from home ini, jadi nulispun ikut ngapak. https://t.co/x7v7ln8xcy","penulisnya udh cape ini, jadi nulispun ikut ngapak.","penulisnya sudah capek ini, jadi nulispun ikut ngapak.","penulisnya capek , nulispun ngapak ."
@gxgacc ya puji syukur berdagang masih lancar. ga ada hambatan. paling ngga bisa work from home aja kecuali pas masak hahahaha.,ya puji syukur berdagang masih lancar. ga ada hambatan. paling ngga bisa aja kecuali pas masak hahahaha.,ya puji syukur berdagang masih lancar. enggak ada hambatan. paling enggak bisa saja kecuali pas masak hahahaha.,puji syukur berdagang lancar . hambatan . kecuali pas masak hahahaha .
"yang gak bisa work from home, yuk cegah penyebaran covid dengan cara berikut ini #anakteknik #mahasiswateknik #anakteknikindo https://t.co/fg6cjy4q41","yang gak bisa home, yuk cegah penyebaran covid dengan cara berikut ini #anakteknik #mahasiswateknik #anakteknikindo","yang enggak bisa home, yuk cegah penyebaran covid dengan cara berikut ini #anakteknik #mahasiswateknik #anakteknikindo",", cegah penyebaran covid #anakteknik #mahasiswateknik #anakteknikindo"
salah satunya dengan menerapkan kebijakan meliburkan kegiatan belajar mengajar dan juga memberlakukan sistem work from home atau #dirumahaja. #dirumahaja https://t.co/d7ccops6z5,salah satunya dengan menerapkan kebijakan meliburkan kegiatan belajar mengajar dan juga memberlakukan sistem atau #dirumahaja. #dirumahaja,salah satunya dengan menerapkan kebijakan meliburkan kegiatan belajar mengajar dan juga memberlakukan sistem atau #dirumahaja. #dirumahaja,salah satunya menerapkan kebijakan meliburkan kegiatan belajar mengajar memberlakukan sistem #dirumahaja . #dirumahaja
"@tirta_hudhi msh seperti 3 minggu yg lalu dok, work from home. jakarta bisa","msh seperti 3 minggu yg lalu dok, home. jakarta bisa","masih seperti 3 minggu yang lalu dok, home. jakarta bisa","3 minggu dok , . jakarta"
"hari ini saya melakukan conference call mengenai pembahasan proker &amp; diskusi online terkait work from home
.
#dirumahaja
#workfromhome https://t.co/ekrupiqf8u","hari ini saya melakukan conference call mengenai pembahasan proker &amp; diskusi online terkait home
.
#dirumahaja
#workfromhome","hari ini saya melakukan conference call mengenai pembahasan proker &amp; diskusi online terkait home
.
#dirumahaja
#workfromhome","conference call pembahasan proker & amp ; diskusi online terkait 
 . 
 #dirumahaja 
 #workfromhome"
"apotekers mustahil work from home, inilah yang dilakukan agar tetap bisa bekerja https://t.co/9q4hezxivh","apotekers mustahil home, inilah yang dilakukan agar tetap bisa bekerja","apotekers mustahil home, inilah yang dilakukan agar tetap bisa bekerja","apotekers mustahil ,"
"@h_aikojkt48 work from home dek

alias ya rebahan lah emang ngapain lagi wkwk","dek

alias ya rebahan lah emang ngapain lagi wkwk","dek

alias ya rebahan lah memang mengapai lagi wkwk","dek 

 alias rebahan mengapai wkwk"
dilanjutkan lagi. work from home sebenarnya lagi penat .penat nak cari line 😂,dilanjutkan lagi. sebenarnya lagi penat .penat nak cari line 😂,dilanjutkan lagi. sebenarnya lagi penat .penat nak cari line 😂,dilanjutkan . penat .penat cari line 😂
"seru mungkin klo paramedis work from home 🥰 
susah sih kmu di kasih tau, masih sayang ngk sih sama nyawa ?","seru mungkin klo paramedis 🥰 susah sih kmu di kasih tau, masih sayang ngk sih sama nyawa ?","seru mungkin kalo paramedis 🥰 susah sih kamu di kasih tau, masih sayang enggak sih sama nyawa ?","seru paramedis 🥰 susah kasih tau , sayang nyawa ?"
@grizztantik udah work from home ningan wkwk,udah ningan wkwk,sudah ningan wkwk,ningan wkwk
ni spiderman kelamaan work from home jd gede palanya https://t.co/mncryqsynx,ni spiderman kelamaan jd gede palanya,nih spiderman kelamaan jadi gede palanya,spiderman gede palanya
"@indihome @telkomcare apakah anda tidak ada kepikiran mau unblock netflix kah? kami semua sedang work from home, kalau tidak bisa memberikan internet yang cukup stabil, cukup memberikan kami keluasan untuk menonton, memblokir netflix bukan pilihan yang baik.","apakah anda tidak ada kepikiran mau unblock netflix kah? kami semua sedang home, kalau tidak bisa memberikan internet yang cukup stabil, cukup memberikan kami keluasan untuk menonton, memblokir netflix bukan pilihan yang baik.","apakah anda tidak ada kepikiran mau unblock netflix kah? kami semua sedang home, kalau tidak bisa memberikan internet yang cukup stabil, cukup memberikan kami keluasan untuk menonton, memblokir netflix bukan pilihan yang baik.","kepikiran unblock netflix kah ? , internet stabil , keluasan menonton , memblokir netflix pilihan ."
@rizkier__ @kuponakhirtahun kurirnya kok ga work from home si,kurirnya kok ga si,kurirnya kok enggak sih,kurirnya
"ketiga. kita kena suaikan diri dalam keadaan sekarang. adapt. bersedia nak hadapi pkp ini sehingga puasa ini.

suaikan diri dengan suasana work from home. suaikan diri dengan duduk di rumah sahaja. suaikan diri dengan bisnes from home. https://t.co/arn1xnp6jb","ketiga. kita kena suaikan diri dalam keadaan sekarang. adapt. bersedia nak hadapi pkp ini sehingga puasa ini.

suaikan diri dengan suasana home. suaikan diri dengan duduk di rumah sahaja. suaikan diri dengan bisnes home.","ketiga. kita kena suaikan diri dalam keadaan sekarang. adapt. bersedia nak hadapi pkp ini sehingga puasa ini.

suaikan diri dengan suasana home. suaikan diri dengan duduk di rumah sahaja. suaikan diri dengan bisnes home.","ketiga . kena suaikan . adapt . bersedia hadapi pkp puasa . 

 suaikan suasana . suaikan duduk rumah sahaja . suaikan bisnes ."
