text_asli,removed_noise,removed_alay,removed_stopwords,,,
"a : bro, udh new normal nih, masa gak mau ikut ngumpul atau mau keluar kemana gitu.
b : new normal sih new normal tapi coba liat itu grafik positif meninggal dll. menurun gak? waras dikit kenapa bro.","a : bro, udh nih, masa gak mau ikut ngumpul atau mau keluar kemana gitu.
b : sih tapi coba liat itu grafik positif meninggal dll. menurun gak? waras dikit kenapa bro.","a : bro, sudah nih, masa enggak mau ikut ngumpul atau mau keluar kemana gitu.
b : sih tapi coba lihat itu grafik positif meninggal dll. menurun gak? waras dikit kenapa bro.","a : , , ngumpul kemana gitu . 
 b : coba lihat grafik positif meninggal dll. menurun ? waras dikit .",,,
"@partaisocmed tum @partaisocmed , mungkin bisa membuka perspektif baru tentang new normal.

luar biasa, salah satu video terbaik di era pandemi ini.

https://t.co/snlyimdfmm","tum , mungkin bisa membuka perspektif baru tentang normal.

luar biasa, salah satu video terbaik di era pandemi","tum , mungkin bisa membuka perspektif baru tentang normal.

luar biasa, salah satu video terbaik di era pandemi","tum , membuka perspektif . 

 , salah video terbaik era pandemi",,,
"@kontannews lagu   ,   corona
           virus mematikan

ganas membunuh  jutaan  orang        lewat perkumpulan  dan keramaian .
hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd","lagu , corona virus mematikan

ganas membunuh jutaan orang lewat perkumpulan dan keramaian .
hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan

ganas membunuh jutaan orang lewat perkumpulan dan keramaian .
hindari keramaian,jaga jarak, pakai masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan 

 ganas membunuh jutaan orang perkumpulan keramaian . 
 hindari keramaian , jaga jarak , pakai masker , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",,,
"lagu   ,   corona
           virus mematikan

ganas membunuh  jutaan  orang        lewat perkumpulan  dan keramaian .
hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd https://t.co/xqowwikrmg","lagu , corona virus mematikan

ganas membunuh jutaan orang lewat perkumpulan dan keramaian .
hindari keramaian,jaga jarak, pake masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan

ganas membunuh jutaan orang lewat perkumpulan dan keramaian .
hindari keramaian,jaga jarak, pakai masker,sholat di rumah aja
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona virus mematikan 

 ganas membunuh jutaan orang perkumpulan keramaian . 
 hindari keramaian , jaga jarak , pakai masker , sholat rumah 
 taati protokol kesehatan / normalisasi kehidupan",,,
bali incar wisatawan dari 3 negara asia ini di masa new normal - travel https://t.co/kajg4a3qgm https://t.co/u9edausb3q,bali incar wisatawan dari 3 negara asia ini di masa - travel,bali incar wisatawan dari 3 negara asia ini di masa - travel,bali incar wisatawan 3 negara asia - travel,,,
"new normal, fraksi pkb jatim minta makam sunan ampel hingga gus dur kembali dibuka. @fauzanfuadiff 
 https://t.co/lk2zswwhbw","normal, fraksi pkb jatim minta makam sunan ampel hingga gus dur kembali dibuka.","normal, fraksi pkb jatim meminta makam sunan ampel hingga gus dur kembali dibuka.",", fraksi pkb jatim makam sunan ampel gus dur dibuka .",,,
@trihartiwi “new normal”-ku pada bae teng https://t.co/wte6nfracs,“new normal”-ku pada bae teng,“new normal”-ku pada bae teng,“ ” -ku bae teng,,,
inikah 10 hal 'new normal' yang harus dijalani di transjakarta kala transisi psbb corona? https://t.co/ocytytnk3h,inikah 10 hal 'new normal' yang harus dijalani di transjakarta kala transisi psbb corona?,inikah 10 hal 'new normal' yang harus dijalani di transjakarta kala transisi psbb corona?,10 ' ' dijalani transjakarta transisi psbb corona ?,,,
inikah 10 hal 'new normal' yang harus dijalani di transjakarta kala transisi psbb corona? https://t.co/ocytyt5jc9,inikah 10 hal 'new normal' yang harus dijalani di transjakarta kala transisi psbb corona?,inikah 10 hal 'new normal' yang harus dijalani di transjakarta kala transisi psbb corona?,10 ' ' dijalani transjakarta transisi psbb corona ?,,,
"#thepowerofcollaboration 
masih ingat khan @kangpisman nya teh oneng? yuk  belajar misahin sampah bareng biar memudahkan mamang sampah dan bikin rumah ga bau juga plus nambah manfaat.   jangan lupa ya new normal nya… https://t.co/ttdbodjtsy",#thepowerofcollaboration masih ingat khan nya teh oneng? yuk belajar misahin sampah bareng biar memudahkan mamang sampah dan bikin rumah ga bau juga plus nambah manfaat. jangan lupa ya nya…,#thepowerofcollaboration masih ingat kan nya teh oneng? yuk belajar misahin sampah bareng biar memudahkan mamang sampah dan bikin rumah enggak bau juga plus menambah manfaat. jangan lupa ya nya…,#thepowerofcollaboration teh oneng ? belajar misahin sampah bareng biar memudahkan mamang sampah bikin rumah bau plus menambah manfaat . lupa …,,,
