text_asli,removed_noise,removed_alay,removed_stopwords
"jakarta akan memberlakukan lockdown, kapan saat yang tepat?
saksikan pembahasan menariknya bersama dalton, sandiaga dan sandrina dalam hot indonesia di youtube channel talk show tvone klik https://t.co/nguw4na5wa
#hotindonesiaone #covid19 https://t.co/obinbmbm8m","jakarta akan memberlakukan lockdown, kapan saat yang tepat?
saksikan pembahasan menariknya bersama dalton, sandiaga dan sandrina dalam hot di youtube channel talk show tvone klik #covid19","jakarta akan memberlakukan lockdown, kapan saat yang tepat?
saksikan pembahasan menariknya bersama dalton, sandiaga dan sandrina dalam hot di youtube channel talk show tvone klik #covid19","jakarta memberlakukan , ? 
 saksikan pembahasan menariknya dalton , sandiaga sandrina hot youtube channel talk show tvone klik #covid19"
"angka kasus positif virus corona di indonesia terus bertambah, namun keputusan lockdown masih belum diambil pemerintah. #viruscorona 

via @detikfinance https://t.co/kxeiaoy8ik","angka kasus positif virus corona di terus bertambah, namun keputusan masih belum diambil pemerintah. #viruscorona via","angka kasus positif virus corona di terus bertambah, namun keputusan masih belum diambil pemerintah. #viruscorona via","angka positif virus corona bertambah , keputusan diambil pemerintah . #viruscorona via"
"jakarta akan memberlakukan lockdown, kapan saat yang tepat?
saksikan pembahasan menariknya bersama dalton, sandiaga dan sandrina dalam hot indonesia di youtube channel talk show tvone klik https://t.co/nguw4na5wa
#hotindonesiaone #covid19 https://t.co/izndnw5rrq","jakarta akan memberlakukan lockdown, kapan saat yang tepat?
saksikan pembahasan menariknya bersama dalton, sandiaga dan sandrina dalam hot di youtube channel talk show tvone klik #covid19","jakarta akan memberlakukan lockdown, kapan saat yang tepat?
saksikan pembahasan menariknya bersama dalton, sandiaga dan sandrina dalam hot di youtube channel talk show tvone klik #covid19","jakarta memberlakukan , ? 
 saksikan pembahasan menariknya dalton , sandiaga sandrina hot youtube channel talk show tvone klik #covid19"
"siti rohimah, pekerja migran indonesia (pmi) asal cilacap mencari daun ubi untuk dimakan akibat lockdown untuk mencegah penyebaran virus corona di malaysia. #lockdown https://t.co/n0xmwbnchp","siti rohimah, pekerja migran (pmi) asal cilacap mencari daun ubi untuk dimakan akibat untuk mencegah penyebaran virus corona di malaysia. #lockdown","siti rohimah, pekerja migran (pmi) asal cilacap mencari daun ubi untuk dimakan akibat untuk mencegah penyebaran virus corona di malaysia. #lockdown","siti rohimah , pekerja migran ( pmi ) cilacap mencari daun ubi dimakan akibat mencegah penyebaran virus corona malaysia . #lockdown"
"pemerintah belanda berupaya menerapkan karantina wilayah secara cerdas atau disebut ""intelligent lockdown"". namun, penyebaran wabah virus corona begitu cepat di belanda sehingga tingkat kematian di negara itu merupakan salah satu tertinggi di dunia. https://t.co/kz43v7epfr https://t.co/jxsowdntig","pemerintah belanda berupaya menerapkan karantina wilayah secara cerdas atau disebut ""intelligent lockdown"". namun, penyebaran wabah virus corona begitu cepat di belanda sehingga tingkat kematian di negara itu merupakan salah satu tertinggi di dunia.","pemerintah belanda berupaya menerapkan karantina wilayah secara cerdas atau disebut ""intelligent lockdown"". namun, penyebaran wabah virus corona begitu cepat di belanda sehingga tingkat kematian di negara itu merupakan salah satu tertinggi di dunia.","pemerintah belanda berupaya menerapkan karantina wilayah cerdas "" intelligent "" . , penyebaran wabah virus corona cepat belanda tingkat kematian negara salah tertinggi dunia ."
"sekilas sama dengan yg sedang dijalankan teman2 di indonesia ya? bedanya, ini resmi ada ""aturan mainnya"".

selama ini sg berhasil melakukan mitigasi tanpa perlu lockdown. karena situasi memburuk 2 minggu terakhir, lockdown diterapkan skrg. 4 days notice jadi bisa persiapan.","sekilas sama dengan yg sedang dijalankan teman2 di ya? bedanya, ini resmi ada ""aturan mainnya"".

selama ini sg berhasil melakukan mitigasi tanpa perlu lockdown. karena situasi memburuk 2 minggu terakhir, diterapkan skrg. 4 days notice jadi bisa persiapan.","sekilas sama dengan yang sedang dijalankan teman-teman di ya? bedanya, ini resmi ada ""aturan mainnya"".

selama ini sg berhasil melakukan mitigasi tanpa perlu lockdown. karena situasi memburuk 2 minggu terakhir, diterapkan skrg. 4 days notice jadi bisa persiapan.","sekilas dijalankan teman-teman ? bedanya , resmi "" aturan mainnya "" . 

 sg berhasil mitigasi . situasi memburuk 2 minggu , diterapkan . 4 days notice persiapan ."
"mengenai lockdown di negara (seperti indonesia 🇮🇩) yang mayoritas rakyatnya ekonomi lemah/kecil, 

bill gates sama seperti @kawalcovid19 mengkhawatirkan kematian massal dulu bukan ekonomi. bukan hanya virusnya, juga yang tak dapat rs 

tenaga kesehatan yang sakit dan berguguran. https://t.co/bydiwqlkfo","mengenai di negara (seperti 🇮🇩) yang mayoritas rakyatnya ekonomi lemah/kecil, bill gates sama seperti mengkhawatirkan kematian massal dulu bukan ekonomi. bukan hanya virusnya, juga yang tak dapat rs tenaga kesehatan yang sakit dan berguguran.","mengenai di negara (seperti 🇮🇩) yang mayoritas rakyatnya ekonomi lemah/kecil, bill gates sama seperti mengkhawatirkan kematian massal dulu bukan ekonomi. bukan hanya virusnya, juga yang tak dapat rs tenaga kesehatan yang sakit dan berguguran.","negara ( 🇮 🇩 ) mayoritas rakyatnya ekonomi lemah / , bill gates mengkhawatirkan kematian massal ekonomi . virusnya , rs tenaga kesehatan sakit berguguran ."
"bill gates: 🇺🇸 sudah terlambat untuk menghindari lockdown/shutdown, karena tidak cepat tegas bertindak. sekarang solusinya hanya shutdown.

mirip sekali dengan indonesia 🇮🇩 kan? https://t.co/3fq0vvzlo3","bill gates: 🇺🇸 sudah terlambat untuk menghindari lockdown/shutdown, karena tidak cepat tegas bertindak. sekarang solusinya hanya shutdown.

mirip sekali dengan 🇮🇩 kan?","bill gates: 🇺🇸 sudah terlambat untuk menghindari lockdown/shutdown, karena tidak cepat tegas bertindak. sekarang solusinya hanya shutdown.

mirip sekali dengan 🇮🇩 kan?","bill gates : 🇺 🇸 terlambat menghindari / shutdown , cepat bertindak . solusinya shutdown . 

 🇮 🇩 ?"
"@billgates pun sama seperti kami @kawalcovid19 mendorong lockdown/shutdown (karantina wilayah). 

tes masal dan containment/isolasi tuntas juga. 

situasi wabah #covid19 di indonesia 🇮🇩 tidak jauh berbeda dengan di amerika serikat 🇺🇸 , respon pemerintahnya pun sangat-sangat sama. https://t.co/jsbgrpiltf","pun sama seperti kami mendorong lockdown/shutdown (karantina wilayah). tes masal dan containment/isolasi tuntas juga. situasi wabah #covid19 di 🇮🇩 tidak jauh berbeda dengan di amerika serikat 🇺🇸 , respon pemerintahnya pun sangat-sangat sama.","pun sama seperti kami mendorong lockdown/shutdown (karantina wilayah). tes masal dan containment/isolasi tuntas juga. situasi wabah #covid19 di 🇮🇩 tidak jauh berbeda dengan di amerika serikat 🇺🇸 , respon pemerintahnya pun sangat-sangat sama.","mendorong / shutdown ( karantina wilayah ) . tes masal containment / isolasi tuntas . situasi wabah #covid19 🇮 🇩 berbeda amerika serikat 🇺 🇸 , respon pemerintahnya sangat-sangat ."
"gelandang borneo fc, nuriddin davronov, terpaksa bertahan di samarinda, kalimantan timur, karena tajikistan memberlakukan lockdown. https://t.co/idgn2xt4bc","gelandang borneo fc, nuriddin davronov, terpaksa bertahan di samarinda, kalimantan timur, karena tajikistan memberlakukan lockdown.","gelandang borneo fc, nuriddin davronov, terpaksa bertahan di samarinda, kalimantan timur, karena tajikistan memberlakukan lockdown.","gelandang borneo fc , nuriddin davronov , terpaksa bertahan samarinda , kalimantan timur , tajikistan memberlakukan ."
